Payment_Name,Payment_Status__c,SM_Check_Collection_Date__c,SM_Check_Collection__c,SM_Check_Collection_Status__c,SM_Return_code__c,SM_Return_Change__c,Batch,Individual_Name,Reason_Description,CR_Amount,DB_Amount
PY-01894616,REJECTED,2026-09-03,TRUE,RETURN,R10,,0000076,,CUSTOMER ADVISES NOT AUTHORIZED,0.00,99.00
PY-01894618,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000076,,INSUFFICIENT FUNDS,0.00,75.00
PY-01868816,REJECTED,2026-07-22,TRUE,RETURN,R10,,0000569,,CUSTOMER ADVISES NOT AUTHORIZED,0.00,99.00
PY-01885207,REJECTED,2026-08-21,TRUE,RETURN,R10,,0000571,,CUSTOMER ADVISES NOT AUTHORIZED,0.00,99.00
PY-01894586,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,79.00
PY-01894642,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,139.00
PY-01894656,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,139.00
PY-01894609,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,99.00
PY-01894645,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,139.00
PY-01894587,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,75.00
PY-01894613,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,139.00
PY-01894602,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,99.00
PY-01894632,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000630,,INSUFFICIENT FUNDS,0.00,139.00
PY-01894599,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000631,,INSUFFICIENT FUNDS,0.00,99.00
PY-01894608,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000803,,INSUFFICIENT FUNDS,0.00,75.00
PY-01895377,REJECTED,2026-09-04,TRUE,RETURN,R01,,0000894,,INSUFFICIENT FUNDS,0.00,99.00
PY-01895479,REJECTED,2026-09-04,TRUE,RETURN,R01,,0000894,,INSUFFICIENT FUNDS,0.00,75.00
PY-01895480,REJECTED,2026-09-04,TRUE,RETURN,R01,,0000894,,INSUFFICIENT FUNDS,0.00,75.00
PY-01894628,REJECTED,2026-09-03,TRUE,RETURN,R01,,0000941,,INSUFFICIENT FUNDS,0.00,139.00
PY-01895415,REJECTED,2026-09-04,TRUE,RETURN,R04,,0000997,,INVALID ACCOUNT NUMBER,0.00,139.00
