Payment_Name,Payment_Status__c,SM_Check_Collection_Date__c,SM_Check_Collection__c,SM_Check_Collection_Status__c,Section,Drawee_Name,Check_Number,Reference_Number,Amount,Reason
PY-01876058,REJECTED,2026-08-06,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01876058,00001794670,0000556455270,99.00,PASTDUE DATE
PY-01889253,ACCEPTED,2026-08-31,TRUE,COLLECTED,COLLECTED,PY-01889253,00002425077,0000152338225,139.00,NSF
PY-01890504,ACCEPTED,2026-09-01,TRUE,COLLECTED,COLLECTED,PY-01890504,00002463518,0000019906218,164.00,NSF
PY-01890517,ACCEPTED,2026-09-01,TRUE,COLLECTED,COLLECTED,PY-01890517,00002463530,0000072381477,164.00,NSF
PY-01890532,ACCEPTED,2026-09-02,TRUE,COLLECTED,COLLECTED,PY-01890532,00002463545,0003107721389,144.00,NSF
PY-01894041,ACCEPTED,2026-09-03,TRUE,COLLECTED,COLLECTED,PY-01894041,00002565003,0000147694809,99.00,NSF
PY-01894631,REJECTED,2026-09-17,TRUE,PENDING,PENDING,PY-01894631,00002627634,0005001917415,119.00,R10 CUST ADV NOT
PY-01895368,ACCEPTED,2026-09-08,TRUE,COLLECTED,COLLECTED,PY-01895368,00002709389,0000014643650,79.00,NSF
PY-01896061,ACCEPTED,2026-09-09,TRUE,COLLECTED,COLLECTED,PY-01896061,00002743096,0000271129236,99.00,NSF
PY-01899113,ACCEPTED,2026-09-10,TRUE,COLLECTED,COLLECTED,PY-01899113,00002798390,0000040237672,49.00,NSF
PY-01899127,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899127,00002798404,0001685317594,104.00,PASTDUE DATE
PY-01899130,ACCEPTED,2026-09-10,TRUE,COLLECTED,COLLECTED,PY-01899130,00002798407,0000172127645,99.00,NSF
PY-01899134,ACCEPTED,2026-09-09,TRUE,COLLECTED,COLLECTED,PY-01899134,00002798411,0000000015953,99.00,NSF
PY-01899137,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899137,00002798414,0008673154020,124.00,R08 STOP PAYMENT
PY-01899151,ACCEPTED,2026-09-10,TRUE,COLLECTED,COLLECTED,PY-01899151,00002798427,0000085552631,104.00,NSF
PY-01899152,ACCEPTED,2026-09-10,TRUE,COLLECTED,COLLECTED,PY-01899152,00002798428,0000059561351,94.00,NSF
PY-01899158,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899158,00002798434,0000000221147,99.00,PASTDUE DATE
PY-01899192,ACCEPTED,2026-09-09,TRUE,COLLECTED,COLLECTED,PY-01899192,00002798466,0000000015953,124.00,NSF
PY-01899193,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899193,00002798467,0000000221147,124.00,PASTDUE DATE
PY-01899216,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899216,00002798490,0000000048375,124.00,PASTDUE DATE
PY-01899227,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899227,00002798501,0009633312021,100.00,PASTDUE DATE
PY-01899234,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899234,00002798508,0001256928877,99.00,PASTDUE DATE
PY-01899236,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899236,00002798510,0001672942108,164.00,PASTDUE DATE
PY-01899243,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899243,00002798517,0000000034365,94.00,PASTDUE DATE
PY-01899244,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899244,00002798518,0000700135862,124.00,PASTDUE DATE
PY-01899246,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899246,00002798520,0001826916471,124.00,PASTDUE DATE
PY-01899249,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899249,00002798523,0001672942108,164.00,PASTDUE DATE
PY-01899256,REJECTED,2026-09-10,TRUE,NOT_COLLECTED,NOT COLLECTED,PY-01899256,00002798530,0000281420326,99.00,PASTDUE DATE
PY-01899922,ACCEPTED,2026-09-11,TRUE,COLLECTED,COLLECTED,PY-01899922,00002882132,0000032284845,99.00,NSF
