Payment_Name,Payment_Status__c,SM_Check_Collection_Date__c,SM_Check_Collection__c,SM_Check_Collection_Status__c,SM_Return_code__c,SM_Return_Change__c,Batch,Individual_Name,Reason_Description,CR_Amount,DB_Amount
PY-01888808,REJECTED,2026-08-27,TRUE,RETURN,R11,,0000630,,CUST ADVISES INCORRECT,0.00,99.00
PY-01888816,REJECTED,2026-08-27,TRUE,RETURN,R11,,0000925,,CUST ADVISES INCORRECT,0.00,75.00
PY-01888831,REJECTED,2026-08-27,TRUE,RETURN,R11,,0000630,,CUST ADVISES INCORRECT,0.00,99.00
PY-01888987,REJECTED,2026-08-28,TRUE,RETURN,R11,,0000793,,CUST ADVISES INCORRECT,0.00,75.00
PY-01894631,REJECTED,2026-09-03,TRUE,RETURN,R10,,0000771,,CUSTOMER ADVISES NOT AUTHORIZED,0.00,119.00
PY-01900422,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,49.00
PY-01900425,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,99.00
PY-01900426,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000981,,INSUFFICIENT FUNDS,0.00,79.00
PY-01900427,REJECTED,2026-09-11,TRUE,RETURN,R08,,0000072,,PAYMENT STOPPED OR STOP PAYMENT,0.00,99.00
PY-01900428,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,139.00
PY-01900433,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,139.00
PY-01900437,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000346,,INSUFFICIENT FUNDS,0.00,139.00
PY-01900438,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,99.00
PY-01900439,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,99.00
PY-01900441,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000981,,INSUFFICIENT FUNDS,0.00,124.00
PY-01900444,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,99.00
PY-01900447,REJECTED,2026-09-11,TRUE,RETURN,R08,,0000072,,PAYMENT STOPPED OR STOP PAYMENT,0.00,99.00
PY-01900452,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000858,,INSUFFICIENT FUNDS,0.00,139.00
PY-01900454,REJECTED,2026-09-11,TRUE,RETURN,R01,,0000747,,INSUFFICIENT FUNDS,0.00,99.00
PY-01901099,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,75.00
PY-01901100,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,79.00
PY-01901105,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000974,,INSUFFICIENT FUNDS,0.00,69.00
PY-01901107,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,139.00
PY-01901108,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,99.00
PY-01901110,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,79.00
PY-01901114,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,99.00
PY-01901115,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000093,,INSUFFICIENT FUNDS,0.00,139.00
PY-01901116,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000739,,INSUFFICIENT FUNDS,0.00,139.00
PY-01901119,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,99.00
PY-01901123,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000738,,INSUFFICIENT FUNDS,0.00,99.00
PY-01901127,REJECTED,2026-09-14,TRUE,RETURN,R01,,0000984,,INSUFFICIENT FUNDS,0.00,139.00
PY-01902573,REJECTED,2026-09-15,TRUE,RETURN,R01,,0000783,,INSUFFICIENT FUNDS,0.00,79.00
